Wall time,Step,Value
1753973287.386318,1,-10.316985130310059
1753973348.7613413,2,-15.371235847473145
1753973410.1924648,3,-16.25679588317871
1753973471.4632783,4,-16.892826080322266
1753973531.5044098,5,-17.265552520751953
1753973593.1671305,6,-17.579763412475586
1753973655.4093404,7,-17.82654571533203
1753973717.0991313,8,-18.060871124267578
1753973778.8763673,9,-18.264543533325195
1753973840.6367183,10,-18.382139205932617
1753973901.7889593,11,-18.5455322265625
1753973964.1246352,12,-18.670616149902344
1753974026.2017446,13,-18.75654411315918
1753974088.0749855,14,-18.851165771484375
1753974149.6494958,15,-18.93980598449707
1753974211.0301902,16,-19.02887535095215
1753974273.4969592,17,-19.087726593017578
1753974335.4420273,18,-19.144176483154297
1753974397.1667387,19,-19.222761154174805
1753974458.103874,20,-19.295480728149414
1753974519.6592014,21,-19.35173225402832
1753974580.7106206,22,-19.39741325378418
1753974642.6978023,23,-19.466035842895508
1753974705.2005603,24,-19.50432586669922
1753974766.716978,25,-19.5642032623291
1753974828.0587926,26,-19.599077224731445
1753974889.7193282,27,-19.63788414001465
1753974951.1518626,28,-19.715940475463867
1753975013.80402,29,-19.72492790222168
1753975076.7088232,30,-19.7501277923584
1753975138.8496034,31,-19.797361373901367
1753975201.3887043,32,-19.826311111450195
1753975264.4683568,33,-19.888803482055664
1753975327.3692575,34,-19.943519592285156
1753975390.0748878,35,-19.959354400634766
1753975450.8475137,36,-20.01045799255371
1753975513.3139415,37,-20.060733795166016
1753975576.2452416,38,-20.082748413085938
1753975638.8997855,39,-20.124103546142578
1753975700.5924594,40,-20.147079467773438
1753975762.2767074,41,-20.188749313354492
1753975823.3885682,42,-20.230918884277344
1753975884.5923312,43,-20.268457412719727
1753975945.886606,44,-20.287229537963867
1753976007.1290584,45,-20.330068588256836
1753976068.3427515,46,-20.383533477783203
1753976130.1455655,47,-20.3900203704834
1753976192.0931318,48,-20.398462295532227
1753976253.85588,49,-20.454524993896484
1753976315.3873708,50,-20.48604965209961
1753976377.153167,51,-20.50474739074707
1753976438.5985243,52,-20.529369354248047
1753976500.7207596,53,-20.563976287841797
1753976562.9427354,54,-20.545530319213867
1753976624.973506,55,-20.57218360900879
1753976686.6631699,56,-20.603565216064453
