Wall time,Step,Value
1752501004.7845023,1,-8.79951286315918
1752501360.178379,2,-16.42886734008789
1752501712.3897033,3,-17.658437728881836
1752502068.8233078,4,-18.37018394470215
1752502424.2317607,5,-18.830446243286133
1752502778.0830438,6,-19.17542266845703
1752503133.216256,7,-19.423778533935547
1752503487.5349236,8,-19.633943557739258
1752503840.8386703,9,-19.834169387817383
1752504195.3532476,10,-19.987241744995117
1752504549.1859179,11,-20.137659072875977
1752504901.9471946,12,-20.2829532623291
1752505255.4596047,13,-20.413393020629883
1752505609.6593633,14,-20.526063919067383
1752505962.9735842,15,-20.653236389160156
1752506315.8135114,16,-20.791866302490234
1752506669.7077358,17,-20.91241455078125
1752507024.3415413,18,-21.03434944152832
1752507378.4237528,19,-21.17005157470703
1752507732.4368563,20,-21.309465408325195
1752508086.972271,21,-21.434938430786133
1752508440.487141,22,-21.554710388183594
1752508794.7478092,23,-21.72024917602539
1752509148.4137132,24,-21.814970016479492
1752509502.2278287,25,-21.994945526123047
1752509856.1922784,26,-22.14145851135254
1752510210.5170114,27,-22.290517807006836
1752510563.6060746,28,-22.43279457092285
1752510918.1916497,29,-22.6086368560791
1752511271.4327903,30,-22.742712020874023
1752511625.6271174,31,-22.86915397644043
1752511980.9121187,32,-23.0700626373291
1752512336.4803905,33,-23.209346771240234
1752512691.7558374,34,-23.359689712524414
1752513046.356113,35,-23.48323631286621
1752513400.9255314,36,-23.672269821166992
1752513756.5022974,37,-23.718769073486328
1752514110.2512572,38,-23.935033798217773
1752514465.4971251,39,-24.0125675201416
1752514821.6587389,40,-24.138168334960938
1752515176.1810415,41,-24.307998657226562
1752515531.5784109,42,-24.423828125
1752515885.9706726,43,-24.53508758544922
1752516240.9749255,44,-24.569072723388672
1752516596.0365796,45,-24.74687957763672
1752516952.0715432,46,-24.884645462036133
1752517305.4945066,47,-24.93791389465332
1752517662.3668103,48,-25.008058547973633
1752518016.4881537,49,-25.070459365844727
1752518370.1637778,50,-25.24945068359375
1752518727.2513685,51,-25.285755157470703
1752519081.1489666,52,-25.348508834838867
1752519437.5818324,53,-25.506492614746094
1752519792.407091,54,-25.565305709838867
1752520148.2634778,55,-25.597734451293945
1752520503.1075385,56,-25.711898803710938
1752520859.1051571,57,-25.7928409576416
1752521214.0624328,58,-25.922367095947266
1752521569.0059853,59,-25.87554931640625
1752521923.4290264,60,-25.812143325805664
1752522279.220859,61,-26.082069396972656
1752522633.05543,62,-26.13032341003418
1752522987.425302,63,-26.204362869262695
1752523340.907604,64,-26.262004852294922
1752523693.6030388,65,-26.163129806518555
1752524048.3851888,66,-26.376079559326172
1752524401.5584686,67,-26.46841812133789
1752524758.2778094,68,-26.424291610717773
1752525112.1625185,69,-26.446882247924805
1752525468.525906,70,-26.582561492919922
1752525822.5848842,71,-26.656068801879883
1752526177.1768901,72,-26.6324462890625
1752526535.160744,73,-26.748777389526367
1752526890.8159518,74,-26.838184356689453
1752527245.9108589,75,-26.828262329101562
1752527600.4746757,76,-26.826101303100586
1752527953.9316647,77,-27.016042709350586
1752528307.645789,78,-26.91632843017578
1752528664.1752503,79,-27.07697296142578
1752529018.8592575,80,-27.075454711914062
1752529376.2655225,81,-27.056262969970703
1752529730.1558022,82,-27.18561553955078
1752530086.869492,83,-27.216533660888672
1752530441.0612094,84,-27.2332706451416
1752530796.093778,85,-27.271570205688477
1752531150.5309227,86,-27.299631118774414
1752531507.031957,87,-27.358989715576172
1752531861.03818,88,-27.43379783630371
1752532217.6926916,89,-27.494298934936523
1752532572.4453409,90,-27.5003719329834
1752532928.5732334,91,-27.432903289794922
1752533283.462705,92,-27.594350814819336
1752533639.230977,93,-27.57561683654785
1752533995.1459973,94,-27.725109100341797
1752534348.733191,95,-27.686405181884766
1752534704.114726,96,-27.719717025756836
1752535058.9116063,97,-27.705711364746094
1752535414.1754537,98,-27.74193572998047
1752535770.0488615,99,-27.85130500793457
1752536125.3733716,100,-27.838024139404297
1752536480.047273,101,-27.912038803100586
1752536835.7027164,102,-27.904804229736328
1752537191.0737872,103,-27.898540496826172
1752537545.2747254,104,-28.017745971679688
1752537900.5946276,105,-28.03986930847168
1752538255.3487258,106,-27.94858169555664
1752538612.1629748,107,-28.132959365844727
1752538966.8139806,108,-28.145910263061523
1752539323.6099641,109,-28.11115837097168
1752539679.6153388,110,-28.092084884643555
1752540034.5118382,111,-28.256620407104492
1752540389.157797,112,-28.179197311401367
1752540743.977588,113,-28.16031265258789
1752541099.5206811,114,-28.27178955078125
1752541454.356381,115,-28.333097457885742
1752541808.6832957,116,-28.366697311401367
1752542165.6001759,117,-28.371610641479492
1752542520.700151,118,-28.34673500061035
1752542876.255128,119,-28.389432907104492
1752543231.89453,120,-28.460054397583008
1752543587.7725317,121,-28.417034149169922
1752543943.697938,122,-28.564868927001953
1752544300.5790987,123,-28.56426429748535
1752544655.0936124,124,-28.494646072387695
1752545011.2247627,125,-28.625953674316406
1752545365.1309323,126,-28.706613540649414
1752545720.9073722,127,-28.58184242248535
1752546078.3406568,128,-28.658592224121094
1752546432.65316,129,-28.64573097229004
1752546786.0413225,130,-28.653230667114258
1752547141.4722528,131,-28.737930297851562
1752547496.5271993,132,-28.75413703918457
1752547854.1718078,133,-28.900012969970703
1752548209.5030823,134,-28.781234741210938
1752548564.4339485,135,-28.74411392211914
1752548920.4089718,136,-28.9720401763916
1752549277.7779498,137,-28.924043655395508
1752549632.4914167,138,-28.977588653564453
1752549987.152526,139,-28.90561866760254
1752550341.953489,140,-29.03933334350586
1752550696.292724,141,-29.116275787353516
1752551051.2788723,142,-29.00135612487793
1752551406.9671855,143,-29.029111862182617
1752551762.865222,144,-29.017229080200195
1752552118.0003824,145,-29.09488296508789
1752552473.162394,146,-29.14143180847168
1752552829.3197937,147,-29.100698471069336
1752553185.629929,148,-29.220808029174805
1752553542.8774655,149,-29.203218460083008
1752553901.9989684,150,-29.228487014770508
1752554256.7392175,151,-29.178911209106445
1752554613.8502982,152,-29.35189437866211
1752554968.2490666,153,-29.237335205078125
1752555324.6831746,154,-29.213102340698242
1752555678.5822701,155,-29.308238983154297
1752556035.5592418,156,-29.38027572631836
1752556389.600169,157,-29.339040756225586
1752556746.7654204,158,-29.345848083496094
1752557102.4780252,159,-29.40390968322754
1752557458.5500531,160,-29.449918746948242
1752557815.6786005,161,-29.39783477783203
1752558170.8951445,162,-29.4505672454834
1752558526.7813106,163,-29.42023277282715
1752558883.2585707,164,-29.524747848510742
1752559238.7795794,165,-29.56658172607422
1752559595.471527,166,-29.581790924072266
1752559949.2710886,167,-29.582767486572266
1752560306.9281554,168,-29.62265968322754
1752560664.376654,169,-29.561599731445312
1752561019.9094026,170,-29.686168670654297
1752561376.736511,171,-29.66477394104004
1752561735.7004075,172,-29.654327392578125
1752562091.4845939,173,-29.610626220703125
1752562445.8787017,174,-29.754417419433594
1752562802.1790729,175,-29.70677375793457
1752563156.54405,176,-29.799440383911133
1752563511.268716,177,-29.793014526367188
1752563868.8589609,178,-29.800674438476562
1752564224.3167381,179,-29.7752742767334
1752564582.574162,180,-29.77032470703125
1752564938.696785,181,-29.90272331237793
1752565293.8838053,182,-29.91391372680664
1752565651.5105422,183,-29.813037872314453
1752566007.4121199,184,-29.865890502929688
1752566361.1209388,185,-29.898767471313477
1752566717.8990803,186,-30.007104873657227
1752567072.7620199,187,-29.9755859375
1752567430.6861203,188,-29.95094871520996
1752567787.1581252,189,-29.90817642211914
1752568143.2371583,190,-30.03363609313965
1752568501.4854145,191,-30.076148986816406
1752568857.1115704,192,-30.01263427734375
1752569213.5297782,193,-30.06269645690918
1752569569.3802993,194,-30.00812530517578
1752569926.3672144,195,-30.14733123779297
1752570282.6393058,196,-30.15298080444336
1752570637.7233124,197,-30.077125549316406
1752570992.1619937,198,-30.16192054748535
1752571350.849666,199,-30.175073623657227
1752571708.1023004,200,-30.168357849121094
1752572063.4604661,201,-30.209781646728516
1752572419.9769928,202,-30.20831298828125
1752572777.093724,203,-30.24091148376465
1752573131.6657166,204,-30.20521354675293
1752573488.9056644,205,-30.306867599487305
1752573843.244495,206,-30.303728103637695
1752574199.585685,207,-30.352041244506836
1752574555.6831727,208,-30.24662971496582
1752574912.8415568,209,-30.233211517333984
1752575268.89612,210,-30.22486686706543
1752575625.9461892,211,-30.2884464263916
1752575980.769749,212,-30.449609756469727
1752576335.5147302,213,-30.407320022583008
1752576689.8473191,214,-30.29159164428711
1752577047.699765,215,-30.50966453552246
1752577403.2245278,216,-30.455753326416016
1752577759.0879462,217,-30.462261199951172
1752578114.3356655,218,-30.485103607177734
1752578469.1914551,219,-30.520235061645508
1752578824.7168345,220,-30.50706672668457
1752579180.764501,221,-30.47013282775879
1752579536.1936061,222,-30.577547073364258
1752579891.241059,223,-30.41990089416504
1752580248.7096462,224,-30.635194778442383
1752580606.538988,225,-30.61368179321289
1752580961.7970634,226,-30.51778221130371
1752581316.1766074,227,-30.609331130981445
1752581670.156717,228,-30.60846710205078
1752582026.755126,229,-30.610260009765625
1752582382.7229373,230,-30.630802154541016
1752582736.9340878,231,-30.7449893951416
1752583094.0212848,232,-30.55506706237793
1752583448.7344398,233,-30.72045135498047
1752583806.5158296,234,-30.72239112854004
1752584161.234769,235,-30.74791145324707
1752584519.6249392,236,-30.645614624023438
1752584874.6199408,237,-30.810876846313477
1752585230.3404617,238,-30.752565383911133
1752585586.8328133,239,-30.812759399414062
1752585942.5017598,240,-30.74599266052246
1752586297.756018,241,-30.85572624206543
1752586653.4555738,242,-30.736963272094727
1752587008.977382,243,-30.8369083404541
